user_id,strategy_id,gameId,roundNum,hotelId,reviewId,hotelScore,didGo,didWin,correctAnswers,reaction_time,user_points,bot_points,last_didGo_True,last_last_didGo_True,last_didGo_False,last_last_didGo_False,last_didWin_True,last_last_didWin_True,last_didWin_False,last_last_didWin_False,last_reaction_time
0,132,0,1,83,16154,9.157142857142857,True,True,1,20667,0,0,False,False,False,False,False,False,False,False,-1
0,132,0,2,568,5683,8.114285714285714,True,True,2,5227,1,1,True,False,False,False,True,False,False,False,20667
0,132,0,3,128,2591,10.0,True,True,3,23809,2,2,True,True,False,False,True,True,False,False,5227
0,132,0,4,349,6159,7.257142857142857,False,True,4,29973,3,3,True,True,False,False,True,True,False,False,23809
0,132,0,5,329,24538,6.985714285714287,True,False,4,21321,4,3,False,True,True,False,True,True,False,False,29973
0,132,0,6,868,8576,7.785714285714286,True,False,4,6642,4,4,True,False,False,True,False,True,True,False,21321
0,132,0,7,878,8336,7.199999999999998,False,True,5,6945,4,5,True,True,False,False,False,False,True,True,6642
0,132,0,8,379,20174,8.514285714285714,True,True,6,15276,5,5,False,True,True,False,True,False,False,True,6945
0,132,0,9,160,24878,7.085714285714285,True,False,6,8740,6,6,True,False,False,True,True,True,False,False,15276
0,132,0,10,324,25607,8.87142857142857,True,True,7,10123,6,7,True,True,False,False,False,True,True,False,8740
0,132,1,1,1056,23161,7.657142857142857,False,True,1,22392,0,0,False,False,False,False,False,False,False,False,-1
0,132,1,2,718,5066,6.557142857142858,False,True,2,19371,1,0,False,False,True,False,True,False,False,False,22392
0,132,1,3,914,9272,7.414285714285714,True,False,2,6706,2,0,False,False,True,True,True,True,False,False,19371
0,132,1,4,493,6767,7.571428571428571,True,False,2,5240,2,1,True,False,False,True,False,True,True,False,6706
0,132,1,5,893,17393,7.628571428571428,True,False,2,458,2,2,True,True,False,False,False,False,True,True,5240
0,132,1,6,32,6210,9.042857142857143,True,True,3,363,2,3,True,True,False,False,False,False,True,True,458
0,132,1,7,630,11023,9.571428571428571,True,True,4,410,3,4,True,True,False,False,True,False,False,True,363
0,132,1,8,714,12530,7.271428571428572,True,False,4,302,4,5,True,True,False,False,True,True,False,False,410
0,132,1,9,828,16109,7.342857142857143,True,False,4,303,4,6,True,True,False,False,False,True,True,False,302
0,132,1,10,237,5587,9.442857142857141,True,True,5,327,4,7,True,True,False,False,False,False,True,True,303
0,132,2,1,510,22494,8.257142857142856,True,True,1,16695,0,0,False,False,False,False,False,False,False,False,-1
0,132,2,2,335,25515,7.457142857142857,False,True,2,6240,1,1,True,False,False,False,True,False,False,False,16695
0,132,2,3,772,11043,4.657142857142857,True,False,2,8545,2,1,False,True,True,False,True,True,False,False,6240
0,132,2,4,504,72,7.185714285714285,False,False,2,2867,2,2,True,False,False,True,False,True,True,False,8545
0,132,3,1,200,9759,9.6,True,True,1,8188,0,0,False,False,False,False,False,False,False,False,-1
0,132,3,2,254,12860,9.357142857142858,True,True,2,1905,1,1,True,False,False,False,True,False,False,False,8188
0,132,3,3,874,9187,6.714285714285714,False,True,3,2390,2,2,True,True,False,False,True,True,False,False,1905
0,132,3,4,623,216,9.0,True,True,4,6002,3,2,False,True,True,False,True,True,False,False,2390
0,132,3,5,425,13480,9.528571428571428,True,True,5,2125,4,3,True,False,False,True,True,True,False,False,6002
